"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
2023,113,"SSotomayor",-4.094,0.753,-4.056,-5.72,-2.695
1949,88,"TCClark",1.056,0.346,1.035,0.413,1.768
1950,88,"TCClark",1.113,0.288,1.105,0.588,1.735
1951,88,"TCClark",1.186,0.245,1.183,0.72,1.675
1952,88,"TCClark",1.169,0.225,1.163,0.731,1.619
1953,88,"TCClark",0.608,0.214,0.606,0.185,1.039
1954,88,"TCClark",0.15,0.2,0.145,-0.229,0.541
1955,88,"TCClark",0.017,0.184,0.017,-0.342,0.379
1956,88,"TCClark",0.161,0.164,0.161,-0.164,0.483
1957,88,"TCClark",0.586,0.158,0.58,0.287,0.9
1958,88,"TCClark",0.527,0.172,0.524,0.192,0.857
1959,88,"TCClark",0.348,0.16,0.344,0.041,0.655
1960,88,"TCClark",0.756,0.176,0.754,0.414,1.106
1961,88,"TCClark",0.458,0.179,0.451,0.122,0.812
1962,88,"TCClark",0.335,0.153,0.33,0.036,0.654
1963,88,"TCClark",0.041,0.145,0.042,-0.246,0.325
1964,88,"TCClark",-0.213,0.182,-0.215,-0.566,0.14
1965,88,"TCClark",-0.1,0.166,-0.099,-0.433,0.232
1966,88,"TCClark",0.11,0.162,0.107,-0.199,0.432
1967,98,"TMarshall",-1.173,0.237,-1.161,-1.658,-0.72
1968,98,"TMarshall",-1.103,0.231,-1.099,-1.562,-0.669
1969,98,"TMarshall",-0.95,0.22,-0.942,-1.406,-0.54
1970,98,"TMarshall",-0.969,0.202,-0.957,-1.389,-0.601
1971,98,"TMarshall",-1.083,0.197,-1.078,-1.482,-0.712
1972,98,"TMarshall",-1.37,0.203,-1.366,-1.779,-0.989
1973,98,"TMarshall",-1.471,0.213,-1.464,-1.901,-1.056
1974,98,"TMarshall",-1.494,0.247,-1.486,-2.003,-1.026
1975,98,"TMarshall",-2.045,0.272,-2.034,-2.601,-1.54
1976,98,"TMarshall",-2.384,0.299,-2.377,-2.991,-1.83
1977,98,"TMarshall",-2.713,0.346,-2.702,-3.423,-2.053
1978,98,"TMarshall",-3.06,0.37,-3.048,-3.813,-2.38
1979,98,"TMarshall",-3.323,0.389,-3.312,-4.135,-2.599
1980,98,"TMarshall",-3.478,0.409,-3.46,-4.311,-2.736
1981,98,"TMarshall",-3.61,0.433,-3.589,-4.501,-2.801
1982,98,"TMarshall",-3.776,0.453,-3.756,-4.722,-2.933
1983,98,"TMarshall",-3.861,0.468,-3.841,-4.869,-3.019
1984,98,"TMarshall",-3.945,0.493,-3.932,-4.942,-3.041
1985,98,"TMarshall",-4.069,0.507,-4.053,-5.117,-3.123
1986,98,"TMarshall",-4.279,0.515,-4.255,-5.38,-3.337
1987,98,"TMarshall",-4.424,0.522,-4.401,-5.509,-3.453
1988,98,"TMarshall",-4.481,0.562,-4.45,-5.667,-3.412
1989,98,"TMarshall",-4.459,0.611,-4.433,-5.744,-3.31
1990,98,"TMarshall",-4.319,0.699,-4.292,-5.752,-3.027
1942,85,"WBRutledge",-1.14,0.296,-1.131,-1.763,-0.575
1943,85,"WBRutledge",-1.163,0.238,-1.158,-1.659,-0.718
1944,85,"WBRutledge",-1.381,0.226,-1.376,-1.85,-0.973
1945,85,"WBRutledge",-1.194,0.264,-1.194,-1.707,-0.688
1946,85,"WBRutledge",-1.433,0.255,-1.429,-1.932,-0.952
1947,85,"WBRutledge",-1.756,0.276,-1.754,-2.286,-1.221
1948,85,"WBRutledge",-1.828,0.316,-1.823,-2.458,-1.237
1969,99,"WEBurger",1.981,0.35,1.969,1.327,2.68
1970,99,"WEBurger",2.173,0.312,2.156,1.609,2.811
1971,99,"WEBurger",2.403,0.284,2.395,1.851,2.985
1972,99,"WEBurger",2.195,0.272,2.189,1.673,2.744
1973,99,"WEBurger",2.201,0.264,2.198,1.709,2.715
1974,99,"WEBurger",2.112,0.268,2.107,1.614,2.663
1975,99,"WEBurger",1.975,0.261,1.961,1.487,2.522
1976,99,"WEBurger",1.925,0.247,1.915,1.463,2.436
1977,99,"WEBurger",1.53,0.232,1.527,1.084,1.984
1978,99,"WEBurger",1.412,0.218,1.406,1.002,1.848
1979,99,"WEBurger",1.245,0.21,1.244,0.851,1.674
1980,99,"WEBurger",1.509,0.231,1.509,1.061,1.956
1981,99,"WEBurger",1.694,0.229,1.692,1.263,2.142
1982,99,"WEBurger",1.583,0.24,1.573,1.129,2.06
1983,99,"WEBurger",1.814,0.251,1.808,1.334,2.326
1984,99,"WEBurger",2.113,0.279,2.112,1.604,2.658
1985,99,"WEBurger",2.238,0.324,2.23,1.662,2.932
1971,102,"WHRehnquist",3.555,0.359,3.553,2.853,4.293
1972,102,"WHRehnquist",3.97,0.373,3.963,3.261,4.742
1973,102,"WHRehnquist",4.242,0.398,4.233,3.457,5.035
1974,102,"WHRehnquist",4.34,0.427,4.332,3.497,5.205
1975,102,"WHRehnquist",4.453,0.456,4.448,3.575,5.391
1976,102,"WHRehnquist",4.424,0.477,4.414,3.507,5.386
1977,102,"WHRehnquist",4.435,0.486,4.41,3.535,5.405
1978,102,"WHRehnquist",4.472,0.482,4.463,3.586,5.449
1979,102,"WHRehnquist",4.51,0.47,4.496,3.652,5.472
1980,102,"WHRehnquist",4.368,0.469,4.348,3.497,5.314
1981,102,"WHRehnquist",4.229,0.473,4.205,3.368,5.202
1982,102,"WHRehnquist",4.162,0.46,4.14,3.307,5.101
1983,102,"WHRehnquist",4.061,0.436,4.055,3.234,4.935
1984,102,"WHRehnquist",3.832,0.417,3.815,3.055,4.686
1985,102,"WHRehnquist",3.617,0.402,3.609,2.867,4.46
1986,102,"WHRehnquist",3.344,0.378,3.333,2.619,4.145
1987,102,"WHRehnquist",2.892,0.382,2.88,2.181,3.674
1988,102,"WHRehnquist",2.761,0.352,2.754,2.09,3.488
1989,102,"WHRehnquist",2.611,0.334,2.601,1.992,3.301
1990,102,"WHRehnquist",2.399,0.324,2.383,1.814,3.065
1991,102,"WHRehnquist",2.136,0.309,2.126,1.572,2.767
1992,102,"WHRehnquist",2.066,0.305,2.063,1.478,2.671
1993,102,"WHRehnquist",1.866,0.307,1.861,1.276,2.481
1994,102,"WHRehnquist",1.876,0.291,1.871,1.308,2.453
1995,102,"WHRehnquist",1.838,0.275,1.835,1.311,2.403
1996,102,"WHRehnquist",1.688,0.283,1.685,1.146,2.269
1997,102,"WHRehnquist",1.658,0.29,1.652,1.13,2.248
1998,102,"WHRehnquist",1.868,0.284,1.861,1.328,2.445
1999,102,"WHRehnquist",1.74,0.283,1.739,1.208,2.314
2000,102,"WHRehnquist",1.687,0.271,1.677,1.183,2.245
2001,102,"WHRehnquist",1.434,0.271,1.421,0.928,1.997
2002,102,"WHRehnquist",1.273,0.274,1.268,0.758,1.846
2003,102,"WHRehnquist",1.398,0.286,1.395,0.87,1.968
2004,102,"WHRehnquist",1.452,0.345,1.441,0.788,2.14
1956,92,"WJBrennan",-0.701,0.208,-0.694,-1.124,-0.294
1957,92,"WJBrennan",-0.817,0.184,-0.813,-1.191,-0.463
1958,92,"WJBrennan",-0.849,0.188,-0.846,-1.243,-0.488
1959,92,"WJBrennan",-0.935,0.188,-0.931,-1.32,-0.578
1960,92,"WJBrennan",-0.883,0.19,-0.878,-1.265,-0.528
1961,92,"WJBrennan",-0.852,0.205,-0.852,-1.252,-0.457
1962,92,"WJBrennan",-1.242,0.204,-1.234,-1.64,-0.864
1963,92,"WJBrennan",-1.222,0.193,-1.222,-1.595,-0.859
1964,92,"WJBrennan",-1.039,0.219,-1.026,-1.473,-0.647
1965,92,"WJBrennan",-1.135,0.213,-1.129,-1.557,-0.729
1966,92,"WJBrennan",-1.151,0.199,-1.147,-1.555,-0.785
1967,92,"WJBrennan",-1.255,0.195,-1.249,-1.65,-0.886
1968,92,"WJBrennan",-1.073,0.212,-1.068,-1.509,-0.664
1969,92,"WJBrennan",-0.944,0.215,-0.935,-1.362,-0.54
1970,92,"WJBrennan",-1.058,0.202,-1.054,-1.464,-0.686
1971,92,"WJBrennan",-1.185,0.201,-1.179,-1.584,-0.796
1972,92,"WJBrennan",-1.411,0.212,-1.407,-1.827,-1.003
1973,92,"WJBrennan",-1.729,0.234,-1.722,-2.2,-1.291
1974,92,"WJBrennan",-1.927,0.267,-1.922,-2.442,-1.426
1975,92,"WJBrennan",-2.417,0.287,-2.411,-3.002,-1.871
1976,92,"WJBrennan",-2.656,0.299,-2.642,-3.275,-2.081
1977,92,"WJBrennan",-2.651,0.316,-2.64,-3.303,-2.044
1978,92,"WJBrennan",-2.563,0.313,-2.548,-3.203,-2.002
1979,92,"WJBrennan",-2.474,0.311,-2.465,-3.094,-1.901
1980,92,"WJBrennan",-2.335,0.306,-2.33,-2.947,-1.764
1981,92,"WJBrennan",-2.328,0.296,-2.318,-2.935,-1.792
1982,92,"WJBrennan",-2.113,0.302,-2.097,-2.733,-1.54
1983,92,"WJBrennan",-2.442,0.3,-2.43,-3.073,-1.875
1984,92,"WJBrennan",-2.585,0.32,-2.577,-3.243,-1.975
1985,92,"WJBrennan",-2.551,0.338,-2.537,-3.243,-1.932
1986,92,"WJBrennan",-2.812,0.335,-2.799,-3.487,-2.19
1987,92,"WJBrennan",-2.923,0.368,-2.919,-3.662,-2.246
1988,92,"WJBrennan",-3.079,0.391,-3.059,-3.922,-2.369
1989,92,"WJBrennan",-3.184,0.435,-3.175,-4.103,-2.382
1938,81,"WODouglas",-2.798,0.485,-2.78,-3.77,-1.856
1939,81,"WODouglas",-3.027,0.44,-3.008,-3.956,-2.242
1940,81,"WODouglas",-3.161,0.395,-3.148,-3.971,-2.433
1941,81,"WODouglas",-3.112,0.369,-3.105,-3.861,-2.418
1942,81,"WODouglas",-2.835,0.353,-2.829,-3.546,-2.168
1943,81,"WODouglas",-2.486,0.33,-2.476,-3.172,-1.886
1944,81,"WODouglas",-1.995,0.305,-1.976,-2.643,-1.441
1945,81,"WODouglas",-1.736,0.301,-1.728,-2.353,-1.165
1946,81,"WODouglas",-1.413,0.269,-1.404,-1.97,-0.93
1947,81,"WODouglas",-1.499,0.265,-1.493,-2.049,-1.012
1948,81,"WODouglas",-1.661,0.267,-1.659,-2.19,-1.166
1949,81,"WODouglas",-1.474,0.332,-1.469,-2.146,-0.851
1950,81,"WODouglas",-1.283,0.331,-1.269,-1.972,-0.682
1951,81,"WODouglas",-1.514,0.346,-1.491,-2.231,-0.898
1952,81,"WODouglas",-2.177,0.376,-2.159,-2.979,-1.483
1953,81,"WODouglas",-2.893,0.414,-2.89,-3.717,-2.123
1954,81,"WODouglas",-3.593,0.449,-3.586,-4.503,-2.731
1955,81,"WODouglas",-4.164,0.473,-4.153,-5.091,-3.278
1956,81,"WODouglas",-4.664,0.494,-4.67,-5.657,-3.73
1957,81,"WODouglas",-5.079,0.531,-5.062,-6.126,-4.069
1958,81,"WODouglas",-5.447,0.568,-5.429,-6.589,-4.382
1959,81,"WODouglas",-5.746,0.602,-5.737,-6.892,-4.612
1960,81,"WODouglas",-6.005,0.65,-6.016,-7.24,-4.749
1961,81,"WODouglas",-6.244,0.679,-6.241,-7.557,-4.91
1962,81,"WODouglas",-6.458,0.713,-6.462,-7.871,-5.062
1963,81,"WODouglas",-6.656,0.746,-6.639,-8.183,-5.229
1964,81,"WODouglas",-6.885,0.77,-6.868,-8.447,-5.428
1965,81,"WODouglas",-7.107,0.787,-7.095,-8.737,-5.649
1966,81,"WODouglas",-7.269,0.816,-7.234,-8.942,-5.746
1967,81,"WODouglas",-7.433,0.838,-7.396,-9.141,-5.889
1968,81,"WODouglas",-7.546,0.844,-7.49,-9.315,-6.021
1969,81,"WODouglas",-7.626,0.873,-7.564,-9.438,-6.054
1970,81,"WODouglas",-7.689,0.894,-7.655,-9.604,-6.013
1971,81,"WODouglas",-7.751,0.915,-7.702,-9.695,-6.088
1972,81,"WODouglas",-7.779,0.944,-7.726,-9.775,-6
1973,81,"WODouglas",-7.825,0.969,-7.77,-9.826,-6.05
1974,81,"WODouglas",-7.887,1.008,-7.844,-9.984,-6.061
1975,81,"WODouglas",-7.891,1.049,-7.85,-9.99,-5.971
